Date,Price,Open,High,Low,Change %
"Jun 13, 2019",88.084,88.026,88.392,87.912,0.10%
"Jun 12, 2019",87.996,88.285,88.495,87.951,-0.30%
"Jun 11, 2019",88.265,88.209,88.401,87.943,0.11%
"Jun 10, 2019",88.172,88.129,88.487,88.064,-0.14%
"Jun 07, 2019",88.298,87.843,88.712,87.713,0.56%
"Jun 06, 2019",87.807,88.008,88.209,87.718,-0.21%
"Jun 05, 2019",87.989,87.979,88.354,87.918,0.04%
"Jun 04, 2019",87.955,87.602,88.107,87.382,0.44%
"Jun 03, 2019",87.571,87.858,88.082,87.254,-0.36%
"May 31, 2019",87.888,88.039,88.240,87.508,-0.14%
"May 30, 2019",88.015,88.190,88.360,87.868,-0.18%
"May 29, 2019",88.173,88.085,88.571,88.040,0.15%
"May 28, 2019",88.045,88.121,88.445,88.033,-0.05%
"May 27, 2019",88.089,88.287,88.557,88.035,-0.11%
"May 24, 2019",88.183,88.172,88.536,87.882,0.04%
"May 23, 2019",88.148,88.194,88.599,87.729,-0.03%
"May 22, 2019",88.171,88.491,88.748,88.030,-0.33%
"May 21, 2019",88.465,88.609,89.243,88.406,-0.11%
"May 20, 2019",88.559,89.403,89.628,88.291,-0.93%
"May 17, 2019",89.393,89.745,89.948,89.347,-0.36%
"May 16, 2019",89.719,90.221,90.374,89.631,-0.57%
"May 15, 2019",90.230,90.784,90.950,90.137,-0.56%
"May 14, 2019",90.735,91.441,91.601,90.699,-0.74%
"May 13, 2019",91.410,91.009,92.017,90.950,0.47%
"May 10, 2019",90.985,91.309,91.499,90.675,-0.35%
"May 09, 2019",91.303,90.682,91.520,90.622,0.70%
"May 08, 2019",90.665,91.078,91.109,90.464,-0.41%
"May 07, 2019",91.034,90.867,91.114,90.580,0.21%
"May 06, 2019",90.840,90.612,91.172,90.546,-0.16%
"May 03, 2019",90.984,90.465,91.058,89.957,0.58%
"May 02, 2019",90.456,90.757,91.036,90.309,-0.29%
"May 01, 2019",90.721,90.771,91.125,90.583,-0.02%
"Apr 30, 2019",90.743,90.326,90.955,90.210,0.51%
"Apr 29, 2019",90.281,90.288,90.451,90.093,0.08%
"Apr 26, 2019",90.212,90.512,90.645,90.161,-0.30%
"Apr 25, 2019",90.485,90.259,90.754,90.199,0.28%
"Apr 24, 2019",90.236,90.261,90.719,90.164,-0.01%
"Apr 23, 2019",90.242,90.502,90.887,90.211,-0.25%
"Apr 22, 2019",90.472,90.195,90.835,90.091,0.31%
"Apr 19, 2019",90.188,90.203,90.324,90.086,0.01%
"Apr 18, 2019",90.179,90.552,90.698,90.064,-0.41%
"Apr 17, 2019",90.546,90.733,90.875,90.405,-0.18%
"Apr 16, 2019",90.710,90.922,91.229,90.668,-0.17%
"Apr 15, 2019",90.867,90.473,91.089,90.388,0.41%
"Apr 12, 2019",90.494,90.150,90.862,90.067,0.45%
"Apr 11, 2019",90.086,90.535,90.658,89.965,-0.45%
"Apr 10, 2019",90.497,90.431,90.736,90.198,0.03%
"Apr 09, 2019",90.467,90.873,91.274,90.285,-0.42%
"Apr 08, 2019",90.846,90.170,91.040,90.066,0.76%
"Apr 05, 2019",90.157,90.215,90.849,89.774,-0.04%
"Apr 04, 2019",90.192,90.084,91.127,90.005,0.15%
"Apr 03, 2019",90.060,90.509,90.706,89.787,-0.48%
